Date,1Y,2Y,3Y,4Y,6M,6M_1Y,2Y_6M,3Y_6M,4Y_6M,5Y,7Y,10Y,7Y_5Y,10Y_5Y
1/31/2022,34.8893,42.6701,49.7851,56.5634,29.8867,5.0026,12.7834,19.8984,26.6767,67.6976,80.5509,94.6363,12.8534,26.9387

12/31/2021,28.54,35.045,40.9327,47.66,24.55,3.99,10.495,16.3827,23.11,56.1679,69.856,82.4434,13.6881,26.2755

11/30/2021,32.671,40.9688,47.5362,53.4757,28.2149,4.456,12.7539,19.3213,25.2607,62.6797,75.733,87.6173,13.0533,24.9375

10/29/2021,28.7314,34.8116,40.4327,46.0451,24.4184,4.3131,10.3932,16.0144,21.6268,54.0543,68.7194,80.6225,14.6651,26.5682

9/30/2021,27.6656,33.6494,39.7966,44.5709,23.6328,4.0328,10.0166,16.1637,20.9381,53.473,66.6921,78.7396,13.2191,25.2665

8/31/2021,25.214,30.8406,35.6823,41.1665,21.2178,3.9962,9.6228,14.4646,19.9487,47.8649,61.7347,73.3399,13.8698,25.475

7/30/2021,27.9936,34.3125,40.3368,44.3545,23.8427,4.1509,10.4698,16.4941,20.5118,52.3649,66.2027,77.798,13.8378,25.4331

6/30/2021,25.7808,31.1074,36.2445,41.5758,22.1448,3.636,8.9626,14.0997,19.431,48.3984,63.0021,74.2265,14.6037,25.828

5/31/2021,27.8372,33.6436,39.1317,45.2045,24.1472,3.6899,9.4964,14.9845,21.0573,52.6295,67.31,78.5439,14.6805,25.9145

4/30/2021,26.5009,32.4948,37.9346,42.841,23.1298,3.3711,9.365,14.8048,19.7112,50.171,64.3484,75.845,14.1774,25.674

3/31/2021,29.1843,36.0449,41.9882,48.0537,25.8012,3.3832,10.2437,16.187,22.2525,56.8006,70.5592,81.5747,13.7586,24.7741

2/26/2021,27.3626,33.718,38.5074,44.2752,24.4829,2.8798,9.2351,14.0245,19.7923,52.3654,66.0698,77.1872,13.7045,24.8218

1/29/2021,27.6782,33.8606,38.6233,44.046,24.8643,2.8139,8.9963,13.759,19.1816,51.5028,65.371,80.5354,13.8681,29.0326

12/31/2020,33.2293,37.4141,42.306,47.3769,30.8857,2.3435,6.5283,11.4203,16.4912,54.2771,68.8847,86.2098,14.6076,31.9327

11/30/2020,30.1953,33.865,39.0338,43.0327,28.1797,2.0156,5.6853,10.8541,14.853,49.8088,65.4992,80.2038,15.6904,30.395

10/30/2020,36.5073,40.2639,46.061,51.8544,33.8129,2.6944,6.451,12.2481,18.0415,58.7386,74.3668,84.5,15.6283,25.7614

9/30/2020,38.3563,42.8523,49.0427,54.2699,35.9012,2.4551,6.9511,13.1415,18.3687,63.0442,78.9589,95.7352,15.9147,32.691

8/31/2020,34.2523,38.0635,43.9656,49.9651,29.7667,4.4856,8.2967,14.1989,20.1984,57.9905,71.3236,87.2723,13.3331,29.2817

7/31/2020,42.185,49.8428,54.8763,59.2909,36.51,5.675,13.3328,18.3663,22.7809,65.8032,80.6474,90.5772,14.8443,24.774

6/30/2020,49.0328,53.6723,58.9329,64.405,40.1614,8.8714,13.5109,18.7714,24.2436,71.3523,86.2165,96.1038,14.8642,24.7515

5/29/2020,54.5547,60.3153,65.464,70.5915,42.4597,12.095,17.8556,23.0043,28.1318,75.8798,93.5913,102.9013,17.7115,27.0215

4/30/2020,56.4142,63.0887,70.0565,75.5382,47.1377,9.2765,15.9509,22.9188,28.4004,82.2808,98.4066,107.153,16.1259,24.8722

3/31/2020,87.6672,95.2491,101.7853,107.1876,82.1237,5.5435,13.1254,19.6616,25.0639,116.2235,133.2543,133.9598,17.0308,17.7363

3/29/2019,26.6441,32.459,41.383,50.8996,,,,,,63.6213,,,,

2/28/2019,26.0158,32.8362,40.7335,49.9305,,,,,,43.6094,,,,

1/31/2019,27.368,35.1445,42.5308,52.5786,,,,,,42.9406,,,,

